company,job_title,location,employment_type,seniority,job_category,salary_range,salary_type,num_of_applications,last_posted_date,expiry,responsibilities,requirements,salary_lower_mth_num,salary_upper_mth_num,salary_mid_mth_num,emp_type,target
the supreme hr advisory pte. ltd.,warehouse assistant  /  /  lavender  /  /  1500-2000  /  /  5 days,"az @ paya lebar, 140 paya lebar road 409015",full time,"fresh/entry level, junior executive",logistics / supply chain,"$1,500to$2,000",monthly,1 application,posted 27 jan 2019,closing on 26 feb 2019,job scope: -packing stock & checking cargo -delivery and collect item -computer data entry of stock card,"-experience, skills/ certifications – basic computer skill and driving license class 3 (if no class 3 also ok) -5 day a week -- 9:00am -6:00pm -location: lavender singapore  -salary: $1,500 - $2,000",1500.0,2000.0,1750.0,"permanent, full time",0
irisnation singapore pte. ltd.,strategy consultat,19 china street 049561,full time,manager,advertising / media ,"$4,000to$6,800",monthly,4 applications,posted 27 jan 2019,closing on 26 feb 2019,"we’re iris concise (www.iris-concise.com) – a global growth consultancy with offices across asia, the us and europe. we help our clients develop more valuable relationships with their customers. we are entrepreneurs ourselves and believe in offering clients new perspectives. we get to the point. our business operates across communities of practice – collaborative teams spanning our global offices in which we publish content, deliver projects and develop products. in singapore we focus on 3 communities – commercial/channel/customer strategy, marketing effectiveness and digital transformation. through leveraging data insights strategy brings to life solutions that address the business needs of our clients. concise is part of iris worldwide, the global creative innovation network (www.iris-worldwide.com). we work with iris to drive business growth and customer participation with many of the world’s household names – brands like samsung, intercontinental hotels group, mini, adidas, shell and others. job description ideally you will have between 4-6 years of experience in management consulting and/or in an industry role that has exposed you to a variety of projects and challenges. your strong academic background is matched by an ability to strike up effective working relationships with people from different backgrounds quickly. the ideal candidate must possess strong commercial acumen, be well organised, have an entrepreneurial streak and be willing to learn in order to quickly develop into a business leader in a dynamic, small company environment. you’ll need to be comfortable working with, and leading, an internal team as well as presenting to and becoming a trusted advisor of iris agency partners and clients of varying levels of seniority. proficiency in delivering client-facing projects, with mixed client and internal team members of different levels is essential. strategy consulting professionals demonstrate skills in management and analytics consulting services to help clients develop commercial strategies, business plans and design solutions to drive additional enterprise and customer value. it can include conducting projects like: growing customer loyalty, digital marketing, implementing change plans to seek adoption throughout the business, roadmap development, exploring avenues for incremental revenue, seeking partnerships for our clients that demonstrate win-win opportunities and competitive assessments. individual will be working directly with clients and iris leadership and working team with minimum oversight to deliver high value services and deliverables to clients across a wide range of industries. these projects require independent thinkers who enjoy a good challenge and want to help clients to stay on the forefront.","basic qualifications   bachelor’s degree and above, with 4-6 years working experience in management consulting firms, or marketing functions in related industries, such as: fmcg, hospitalities, retail management, alcohol beverages, f&b, data-driven crm functions, and etc.   self-starter and enthusiastic with entrepreneurial drive   excellent attention to details with proven project management and delivery skills   ability to engage and work with broad range of customer and engagement team levels and roles   experience working creatively and analytically in a fast paced and multi-disciplined agency environment   analytical, problem-solving mentality, deep project experience in commercial/channel/consumer strategy, or/and digital strategy, or/and change management   ability to work effectively in either a single engagement or while supporting multiple business development opportunities with minimum oversight   excellent written work and presentation skills with strong excel/powerpoint skills preferred   native / fluent in english; other languages are plus   some flexibility for occasional travel across asia pacific  ",4000.0,6800.0,5400.0,full time,0
irisnation singapore pte. ltd.,associate director,19 china street 049561,full time,middle management,advertising / media ,"$8,000to$12,000",monthly,21 applications,posted 27 jan 2019,closing on 26 feb 2019,"we’re iris concise (www.iris-concise.com) – a global growth consultancy with offices across asia, the us and europe. we help our clients develop more valuable relationships with their customers. we are entrepreneurs ourselves and believe in offering clients new perspectives. we get to the point. our business operates across communities of practice – collaborative teams spanning our global offices in which we publish content, deliver projects and develop products. in singapore we focus on 3 communities – commercial/channel/customer strategy, marketing effectiveness and digital transformation. through leveraging data insights strategy brings to life solutions that address the business needs of our clients. concise is part of iris worldwide, the global creative innovation network (www.iris-worldwide.com). we work with iris to drive business growth and customer participation with many of the world’s household names – brands like samsung, intercontinental hotels group, mini, adidas, shell and others. job description ideally you will have between 10+ years of experience in management consulting and/or in an industry role that has exposed you to a variety of projects and challenges. your strong academic background is matched by an ability to strike up effective working relationships with people from different backgrounds quickly. the ideal candidate must possess strong commercial acumen, be well organised, have an entrepreneurial streak and be willing to learn in order to quickly develop into a business leader in a dynamic, small company environment. you’ll need to be comfortable working with, and leading, an internal team as well as presenting to and becoming a trusted advisor of iris agency partners and clients of varying levels of seniority. proficiency in managing client-facing projects, with mixed client and internal team members of different levels is essential. strategy consulting professionals demonstrate skills in management and analytics consulting services to help clients develop commercial strategies, business plans and design solutions to drive additional enterprise and customer value. it can include conducting projects like: growing customer loyalty, digital marketing, implementing change plans to seek adoption throughout the business, roadmap development, exploring avenues for incremental revenue, seeking partnerships for our clients that demonstrate win-win opportunities and competitive assessments. individual will be working directly with clients, iris leadership and working team to deliver high value services and deliverables to clients across a wide range of industries. these projects require independent thinkers who enjoy a good challenge and want to help clients to stay on the forefront.  ","basic qualifications   bachelor’s degree and above, with 10+ years working experience in management consulting firms, or marketing functions in related industries, such as: fmcg, hospitalities, retail management, alcohol beverages, f&b, data-driven crm functions, and etc.   be a leader who will help drive the growth of the singapore hub, and asia pacific operations of the consulting business   self-starter and enthusiastic with entrepreneurial drive   excellent attention to details with proven project management and delivery skills   ability to engage and work with broad range of customer and engagement team levels and roles   experience working creatively and analytically in a fast paced and multi-disciplined agency environment   analytical, problem-solving mentality, and deep project experience in commercial/channel/consumer strategy, digital strategy and/or change management   ability to work effectively in either a single engagement or while supporting multiple business development opportunities   excellent written work and presentation skills with strong excel/powerpoint skills preferred   native / fluent in english; other asian languages are plus   some flexibility for occasional travel across asia pacific  ",8000.0,12000.0,10000.0,full time,1
david & goliath pte. ltd.,"senior network manager (projects, itsm, itil, wan, cloud) - permanent position","chevron house, 30 raffles place 048622",full time,manager,information technology,"$6,000to$12,000",monthly,3 applications,posted 27 jan 2019,closing on 26 feb 2019,"are you an exceptional senior network manager with relevant experience on running projects and managing network operations? if so, this could be the career opportunity for you !!   senior network manager (projects, itsm, itil, wan, cloud) - permanent position   the candidate responsible in networking will help to build up the enterprise networks supporting cloud infrastructure, manage the network infrastructure, data centers and managing a matrix-based it operation team.    drive improvements in network infrastructure operations, architecture design and delivery processes, provide overall infrastructure, cloud, & network architecture thought leadership to develop technical design specifications and establish business continuity plans and disaster recovery strategy. evaluate and recommend new technologies, co-ordinate with other it sub-function heads to understand user requirements across geographies and design the it services to meet the business needs, review the  delivery of current services and assess ways to improve efficiency; supervise network infrastructure deployment and conduct post release reviews and provide in-depth technical advice & level 3 support to resolve complicated technical issues to maintain service availability and improve service levels. providing daily global level 3 administration & support on networking (lan, wifi, nac, wan, sd-wan, internet) design, setup and maintain infrastructure monitoring tools for proactive monitoring of it infrastructure and application performance to ensure optimal it services delivery. liaise with business stakeholders to understand requirements, advise on new technologies or opportunities for cost savings, and service quality improvement, advise on capabilities and constraints of the infrastructure environment and communicate about implementation and expansions of network infrastructure strategy, architecture, and delivery processes; build relationships with third-party infrastructure and tool providers, lead negotiations with it providers and vendors, oversee administration of vendor contracts and service agreements. operation management - manage incident and requests from customers. ensure sla and uptime meet business requirement. manage it asset utilization and plan for capacity requirement. maintain and assure good security posture of computer resources. manage it business continuity plan and disaster recovery. manage and track it expenses to ensure operating within approved budgets and cloud expenses. manage operations staffing, including recruitment, supervision, scheduling, build and develop the team by setting clear expectations and objectives management, provide feedback to team members, manage career development and succession planning for key positions within the function, evaluation, and disciplinary actions to assure a high performing team, create a culture of promoting new ideas as a key driver of innovation and provide technical guidance and escalation management. develop and maintain it manuals, operational sops, technical architecture documentations and catalogues to ensure governance and consistency in delivery of it services globally. allocate resources and manage support to meet business need and ensure service level agreements (slas) are met. ensure high availability of it service & network infrastructure in line with the stipulated service level agreements (slas). manage recovery process and prepare incident reports in cases of system outages. support overseas/ remote office it infrastructure setup. manage network and infrastructure related projects. management reporting – to provide monthly and yearly reports to senior executive management on it service sla achievements, it systems, networking and cloud capacity management, planning, utilizations, trending, and cost utilization. ","in return for this excellent career opportunity, we ask that you have the following:    tertiary degree in computer science, information technology or equivalent in a reputable university working experience in project management and advance network infrastructure architecture design and support experience leading a team of engineers on providing global infrastructure support. must have technical experience in architecture design, managing and support the following applications/systems – cisco & aruba networking & wifi solutions, 802.1x nac/nap technologies, mpls/ipsec/sdn wan/internet, hybrid cloud networking computing platforms & technologies (office365, azure, aws,etc) and aaa technologies (tacacs+ and radius). certifications such as cisco ccnp/ccdp/ccie, aruba is preferred      if this speaks to you and you are ready for a new challenge, please send your resume in ms word format to bennie.yeo@davidgoliath.net even if you are not interested, you can still park your cv with us for other senior it positions or forward this advertisement to your counterparts with the relevant senior it experiences i am looking for.   we seek to:    understand your personal circumstances, needs and ideals present your credentials to our clients only with your permission strategize and consult with you    your application will be kept with the strictest of confidence.   ea license number: 18s9167 registration id: r1114115",6000.0,12000.0,9000.0,"permanent, full time",1
david & goliath pte. ltd.,"network architect (projects, operations) - permanent position","chevron house, 30 raffles place 048622",full time,professional,information technology,"$6,000to$12,000",monthly,0 application,posted 27 jan 2019,closing on 26 feb 2019,"are you an exceptional senior network manager with relevant experience on running projects and managing network operations? if so, this could be the career opportunity for you !!   network architect (projects, operations) - permanent position    define, develop strategies, assessing existing workloads and technology landscape for global network (data, video & voice, iot) suitability, develop business case and networking infrastructure adoption roadmap. drive networking infrastructure adoption at enterprise level and help define the roadmap for networking, voice & video services transformation at portfolio level. work with portfolios to identify current challenges and help define solutions with cloud as an enabler. identify and define processes suitable for cloud adoption across portfolios within the organization and measure the performance of the processes on periodically. drive improvements in existing infrastructure operations, architecture design and delivery processes, provide overall infrastructure, cloud, & network architecture thought leadership to develop technical design specifications and establish business continuity plans and disaster recovery strategy. defining deployment standards for development team & reviewing delivered build packages for validating the required standards. evaluate and recommend new technologies, co-ordinate with other it sub-function heads to understand user requirements across geographies and design the it services to meet the business needs, review the  delivery of current services and assess ways to improve efficiency; supervise infrastructure deployment and conduct post release reviews and provide in-depth technical advice & level 3 support to resolve complicated technical issues to maintain service availability and improve service levels. bring in market view and help define newer solutions according to industry trends and institutionalize video & voice and networking practices at enterprise level. design, setup and maintain infrastructure management platform, orchestration tools, infrastructure monitoring tools for proactive monitoring of it infrastructure and application performance to ensure optimal it services delivery. liaise with business stakeholders to understand requirements, advise on new technologies or opportunities for cost savings, and service quality improvement, advise on capabilities and constraints of the infrastructure environment and communicate about implementation and expansions of infrastructure strategy, architecture, and delivery processes; build relationships with third-party infrastructure and tool providers, lead negotiations with it providers and vendors, oversee administration of vendor contracts and service agreements. operation management - manage incident and requests from customers. ensure sla and uptime meet business requirement. manage it asset utilization and plan for capacity requirement. maintain and assure good security posture of computer resources. manage it business continuity plan and disaster recovery. manage and track it expenses to ensure operating within approved budgets and cloud expenses. manage operations staffing, including recruitment, supervision, scheduling, build and develop the team by setting clear expectations and objectives management, provide feedback to team members, manage career development and succession planning for key positions within the function, evaluation, and disciplinary actions to assure a high performing team, create a culture of promoting new ideas as a key driver of innovation and provide technical guidance and escalation management. develop and maintain it manuals, operational sops, technical architecture documentations and catalogues to ensure governance and consistency in delivery of it services globally. allocate resources and manage support to meet business need and ensure service level agreements (slas) are met. ensure high availability of it service & network infrastructure in line with the stipulated service level agreements (slas). manage recovery process and prepare incident reports in cases of system outages. support overseas/ remote office it infrastructure setup. manage cloud and infrastructure related projects. management reporting – to provide monthly and yearly reports to senior executive management on it service sla achievements, it systems, networking and cloud capacity management, planning, utilizations, trending, and cost utilization.   ","in return for this excellent career opportunity, we ask that you have the following:    tertiary degree in computer science, information technology or equivalent in a reputable university prior experience assessing existing workloads and technology landscape for network/video & voice infrastructure suitability, develop business case and technology adoption roadmap. prior experience network architecting solution for data, video & voice, cloud and iot prior experience of hard-core infrastructure consulting, design, setup, and operations. prior experience leading a team of engineers on providing global infrastructure support. in-depth experience in enterprise architecture design, managing and support the following applications/systems – cisco & aruba networking & wifi solutions, 802.1x, 802.1q, nac/nap technologies, mpls/ipsec/sdn/sd-wan/internet, hybrid cloud networking computing platforms & technologies (office365, azure, aws,etc) and aaa technologies (tacacs+ and radius), video & audio conferencing services (bluejeans, zoom, etc.), virtual pbx systems, and etc. certifications such as cisco ccie/ccie-sp, aruba preferred worked with agile and waterfall delivery methodologies. understanding of togaf or other formal architecture frameworks is desired.      if this speaks to you and you are ready for a new challenge, please send your resume in ms word format to bennie.yeo@davidgoliath.net even if you are not interested, you can still park your cv with us for other senior it positions or forward this advertisement to your counterparts with the relevant senior it experiences i am looking for.   we seek to:    understand your personal circumstances, needs and ideals present your credentials to our clients only with your permission strategize and consult with you    your application will be kept with the strictest of confidence.   ea license number: 18s9167 registration id: r1114115",6000.0,12000.0,9000.0,"permanent, full time",1
the supreme hr advisory pte. ltd.,test engineer [test script /  information technology],"az @ paya lebar, 140 paya lebar road 409015",full time,junior executive,information technology,"$2,300to$3,000",monthly,1 application,posted 27 jan 2019,closing on 24 feb 2019," rigorously planning, writing and executing test script creation and maintenance of test data, tools and scripts use tools and techniques to execute test cases and build/script new tools for performing testing/validation function execute testing and submit complete test reports and other related technical documents   review and refine existing test scripts. analyze and report on the test results   summarize and solve the issues found in the test, tracking and feedback in a timely manner propose areas of improvement throughout the software development process responsible for leading testing activities required for the product to be compliant with technical specifications and policy requirements   ability to work in a collaborative team environment required ",dylan then reg no: r1878687 the supreme hr advisory pte ltd ea no: 14c7279  ,2300.0,3000.0,2650.0,full time,0
company undisclosed,pre-approval evaluator,undisclosed,contract,executive,information technology,"$5,000to$10,000",monthly,5 applications,posted 27 jan 2019,closing on 26 feb 2019,"responsibilities (senior manager/manager/assistant manager)  lead the technical evaluation of smes go digital (sgd) pre-approved digital solutions, covering sectors including but not limited to retail, f&b, wholesale, logistics, security, environmental services, tourism, accounting, construction, healthcare, education, finance, maritime, media. co-ordinate and conduct technical reviews, assessment, market scan with domain leads/experts including but not limited to cyber security, personal data security, data analytics, artificial intelligence, internet of things, cloud to ensure the required quality standards/levels of sgd pre-approved digital solutions are achieved. recommend and identify technologies to enhance the value of sgd pre-approved digital solutions. ability to chart technology roadmap to level up ict solutions standards. work closely with sector leads to provide holistic & impact assessment on sgd pre-approved digital solutions and formulate options. develop assessment report, including roadmap of sgd pre-approved digital solutions for review, identify and evaluate new technology and capability to counter new emerging technologies. continuous improvement and strengthen the technical capability of sgd pre-approved digital solutions criteria & evaluation framework that meet sgd programme objectives. support administration as well as procurement as required by sgd programme. "," knowledge and experience in computer science, information technology or related field. minimally 2 years of ict experience. knowledge and experience in technical evaluation/assessment including but not limited to enterprise applications, software, mobile & cyber security, video & data analytics. self-motivated individual who can work independently, but is also a good team player. high degree of initiative, flexibility, positive attitude and dynamic personality. excellent english communication skill, both written and verbal. prior experience in the public sector would be an added advantage. ",5000.0,10000.0,7500.0,contract,1
company undisclosed,assistant hr manager,undisclosed,full time,professional,human resources ,"$4,500to$5,500",monthly,18 applications,posted 27 jan 2019,closing on 26 feb 2019,"the assistant hr manager, supports the senior manager, human resources, talent acquisition (ta) & business partnering (bp), and is responsible for the implementation of the organization’s human resources strategies, policies, plans and programmes to provide, promote and sustain an employee-oriented and high performance culture.   key responsibilities:  hands on support in the full spectrum of human resources functions pertaining to manpower planning, talent acquisition & hr business partnering for assigned corporate divisions. supports & manages the operationalization of the approved manpower plan and expenditure on manpower (eom) to support the corporate divisions’ operations efficiently and effectively. engages and partners the line/corporate divisions, as assigned, in their talent acquisition (ta) needs, analyzes the effectiveness of talent acquisition (ta) channels and sources & proposes new recruitment channels to support the conceptualization & development of strategic talent acquisition (ta) plans to attract and retain talents. supporting the end-to-end talent acquisition (ta) process, which includes acitivies such as job advertisement postings, interview arrangements and documents, preparing salary proposals and appointment letters, new hires’ announcements and all onboarding arrangements. hands on tracking and administration of employee life cycle movements such as probation, confirmation, transfers, promotions, resignations, contract expiry, renewals, conversion, staff welfare, benefits, conducting exit interviews and all off-boarding arragnements. updating, utilizing and extracting talent acqusition (ta) data from pageup, sap systems for analysis and internal statistics management reporting. partners the line/corporate divisions in review & implementation of the annual performance management exercise/process. work in partnership with rewards centre of excellence (coe) in alignement to the organization’s compensation strategy and programmes to ensure industry competitiveness and sustainabiltiiy for the attraction, acquisition & retention of talents. active participation in hr division’s review of hr policies, standard operating procedures (sops) & processes regularly, with view to keep abreast with industry & hr best practices. responsible in ensuring hr policies, employment standards & regulations are implemented within respective corporate divisions. ensures employment standard and compliance with relevant regulatory requirments and employment laws. any ad hoc hr projects as assigned from time to time. "," degree in human resource management or relevant qualifications proven track record with at least 5 years of relevant working experience in a similar position in hr talent acqusition or business partner role equivalent, preferably with minimum 3 years in an educational environment. analytical & meticulous inclination comfortable with numbers & hr management reporting possess excellent planning, communication, interpersonal and writing skills. good organisational & stakeholder management skills a dynamic team player, hands-on, self-driven and customer-focused. ability to multi-task in a dynamic and fast-paced environment. good knowledge of employment act pageup & sap experience is must. highly it savvy and proficient in microsoft office (excel, ppt etc.) track record in using social media recruitment platforms, working with recruiters and organizing carrer events. ",4500.0,5500.0,5000.0,permanent,0
company undisclosed,infrastructure technical specialist,undisclosed,full time,professional,information technology,"$7,500to$8,500",monthly,3 applications,posted 27 jan 2019,closing on 16 feb 2019,"• lead on-going technology projects for virtualisation environment to enhance the performance, security, recoverability or continuity of operations • recommend and implement new technologies for virtualization, cloud services and software defined data center. • review/propose of virtual server design decisions to ensure that application hosting solutions exhibit high levels of performance, security, scalability, maintainability, reliability upon deployment • contribute to the development of the architecture roadmap for virtual server platforms. support projects from a technical aspect and provide guidance and direction to less experienced technical staff and vendors including installations and upgrades of operating system, backup/recovery strategies, and high availability configurations • operate server automation solutions and enterprise-wide scripts using tools • provide performance analysis and tune systems. utilize software and hardware tools to identify, analyze, and diagnose complex problems and factors affecting performance • create technical standards and architecture specifications • interface and coordinate tasks with internal and external technical resources.","- strong systems engineering skills with vmware - vcp certification - bachelor’s degree in it or closely related field and 5 years of experience in managing organizations of 10 or more people or an equivalent combination of education and experience. 8 years + of experience supporting it infrastructure in a large organization with at least 3 years of project management experience.  must have demonstrated a technical proficiency in virtualization (vmware)  - knowledge of technology infrastructure vendors, and associated product/service offering - knowledge of industry technology trends - knowledge of it security, risk management and security controls. proven ability to work well in a challenging technical environment, with ability to multitask whilst delivering high quality solutions team oriented and team player ability to function independently",7500.0,8500.0,8000.0,permanent,1
institute of technical education,lecturer - info-comm technology (it applications development),2 ang mo kio drive 567720,contract,executive,"information technology, public / civil service","$3,000to$6,000",monthly,0 application,posted 26 jan 2019,closing on 30 apr 2019,"responsibilities as a lecturer, your contributions go beyond teaching and facilitating learning. you play a critical role in recognising and nurturing your students’ potential and their lifelong learning needs. in addition, you will carry out industry or consultancy projects to help you remain relevant in your profession and to evolving changes in industry, and maintain strong linkages with industry and schools. you will also have the opportunity to have industry attachments or experience on a regular basis to update your skills, knowledge and practices of your profession. those with good and relevant experience can look forward to senior lecturer or equivalent positions, with career development opportunities to leadership positions in the colleges or headquarters.requirements  college central  you should be trained in information technology, computer science or software engineering, with at least 3 years of relevant work experience in web/mobile applications development, content management system or it related field. you should be competent with adobe cc applications and have good programming skills in ios programming (swift), c#, php, html5, css, javascript, python. candidates with experience and/or it certifications in areas of data analytics, internet of things (iot), or artificial intelligence (ai) and machine learning (ml) will have an advantage college east you should be trained in information technology, computer science, data science and/or analytics, with at least 3 years of relevant work experience to be able to develop students' skills in implementing iot/software applications, including data analytics solutions. you should possess relevant experience in one or more of the following areas: - development of iot applications - data analytics technologies and big data - proficiency in programming languages such as python, r or similar (familiarity with python-based libraries such as scikit-learn, numpy/scipy and pandas is preferred) - programming web and mobile applications would be advantageous ",,3000.0,6000.0,4500.0,contract,0
institute of technical education,lecturer - electronics (internet of things (iot) & communication),2 ang mo kio drive 567720,contract,executive,"information technology, public / civil service","$3,000to$6,000",monthly,0 application,posted 26 jan 2019,closing on 30 apr 2019,"responsibilities as a lecturer, your contributions go beyond teaching and facilitating learning. you play a critical role in recognising and nurturing your students’ potential and their lifelong learning needs. in addition, you will carry out industry or consultancy projects to help you remain relevant in your profession and to evolving changes in industry, and maintain strong linkages with industry and schools. you will also have the opportunity to have industry attachments or experience on a regular basis to update your skills, knowledge and practices of your profession. those with good and relevant experience can look forward to senior lecturer or equivalent positions, with career development opportunities to leadership positions in the colleges or headquarters.requirements college central   you should be trained in electronics engineering, computer science, computer engineering, iot related subjects, with at least 3 years of relevant experience in design, develop and deployment of embedded firmware for iot & communication hardware and software.   you should be familiar in one or more of the following areas:  - roduct electronics design related to analogue, digital and power electronics - pcb cad design software rules and routing - programming skills on c, c++ or python  - iot/cloud development and data visualization - electronics assembly and hardware     college east you should be trained in information technology, computer science, data science and/or analytics, with at least 3 years of relevant work experience to be able to develop students' skills in implementing iot/software applications, including data analytics solutions. you should possess relevant experience in one or more of the following areas: - development of iot applications - data analytics technologies and big data - proficiency in programming languages such as python, r or similar (familiarity with python-based libraries such as scikit-learn, numpy/scipy and pandas is preferred) - programming web and mobile applications would be advantageous    ",,3000.0,6000.0,4500.0,contract,0
integral solutions (asia) pte ltd,software and applications developer,3015a ubi road 1 408705,full time,professional,professional services,"$2,500to$6,000",monthly,1 application,posted 26 jan 2019,closing on 25 feb 2019,"isl are innovators and problem-solvers, building solutions in marketing, sales, operation, risk management, big data, mobile and more. we look for creative collaborators who evolve, adapt to change and thrive in a fast-paced global environment. our applications have an enormous impact on the firm, including providing real-time views on business operation, risk tracking, automate data entry and discover insight from operational data. as the platform that centralizes all client transaction and position data, we utilize cutting edge technologies to run artificial intelligence algorithms to automatically discover rules instead of others who use hundreds of complex rules on a vast dataset to identify exceptions, risks, opportunities in a high-performance environment. the software and applications developer contributes to the review and verification of business and software needs. he/she develops and maintains software in line with technical design. he/she develops and maintains software/applications in accordance to technical detailed design.  he/she participates and contributes to the review and verification of test requirements and test cases.  he/she develops test plans and implements unit testing to ascertain the functionality of software/applications. he/she prepares technical documentation and reports on software/applications development. he/she also works with application support lead in resolving software/applications issues.","~ use the latest technologies and approaches, such as ibm watson, spss modeler, azure machine learning, to build well-engineered applications that advance our next generation platforms ~ partner with our clients to understand their ux needs, and use hmtl5, ccs3, angular/react and bootstrap to enhance our ui ~  get involved in our big data platforms, and work with hdfs, hive and spark to help improve our data storage, access and analytics processes ~ collaborate with developers and clients across the globe in a variety of business units ~ assess, develop, upgrade and document maintenance procedures for software, web and multimedia applications.  ~ design and develop computer software, web and data analytics systems.  ~ develop and direct software testing and validation procedures. ~ direct software programming and development of documentation. ~ modify existing software to correct errors and adapt to new hardware. ~ research, analyse and evaluate requirements for software, web and multimedia applications. ~ upgrade interfaces to improve performance.",2500.0,6000.0,4250.0,"freelance, full time, flexi work",0
sahana impex pte. ltd.,business development manager,"eco-tech@sunview, 1 sunview road 627615",full time,manager,others,"$6,000to$7,000",monthly,6 applications,posted 26 jan 2019,closing on 25 feb 2019,"1. build good relationship with existing & new customer and suppliers. 2. identify opportunities that will lead to an increase in sales and expansion of business. 3. research and develop a thorough understanding of the company’s customers and their preference. 4. participate in pricing and negotiations with suppliers. 5. managing records of sales, revenue, and other important data 6. developing ways to improve the customer experience and build loyalty 1. build good relationship with existing & new customer and suppliers. 2. identify opportunities that will lead to an increase in sales and expansion of business. 3. research and develop a thorough understanding of the company’s customers and their preference. 4. participate in pricing and negotiations with suppliers. 5. managing records of sales, revenue, and other important data 6. developing ways to improve the customer experience and build loyalty 7. preference will be given to singaporeans",1.  experience in building good relationship with existing & new customer and suppliers. 2.  several years experience in wholesale of vegetables and fruits imported from india  3. good communication skills in english and tamil (to liase with tamil speaking customers) 4. experience in pricing and negotiations with suppliers. 6. developing ways to improve the customer experience and build loyalty 7. proven track record of successfull business development experience 8. good product knowledge of indian fruits and vegetables,6000.0,7000.0,6500.0,full time,1
institute of technical education,lecturer - mechatronics engineering,2 ang mo kio drive 567720,contract,executive,"engineering, public / civil service","$3,000to$6,000",monthly,0 application,posted 26 jan 2019,closing on 30 apr 2019,"responsibilities as a lecturer, your contributions go beyond teaching and facilitating learning. you play a critical role in recognising and nurturing your students’ potential and their lifelong learning needs. in addition, you will carry out industry or consultancy projects to help you remain relevant in your profession and to evolving changes in industry, and maintain strong linkages with industry and schools. you will also have the opportunity to have industry attachments or experience on a regular basis to update your skills, knowledge and practices of your profession. those with good and relevant experience can look forward to senior lecturer or equivalent positions, with career development opportunities to leadership positions in the colleges or headquarters.requirements     you should be trained in engineering, mechatronics, mechanical engineering, industrial engineering, electrical engineering or a related field in the discipline. mechatronics background with teaching experience is a plus. preferably three years of industry experience with at least one of the following areas: mechatronics/robotics, automation, programmable logic controllers, systems integration, networking, industrial and collaborative robotics, electromechanical systems, mechanical engineering design. multi-disciplinary engineering industry experience with a focus on advanced/smart manufacturing, industrial internet of things, machine to machine networking and data collection, data analytics and systems analysis for manufacturing, systems integration of industry 4.0 will be an added advantage. skills/abilities:  proficient in microsoft office applications such as word-processing and presentation software, internet, including e-mail application. effective verbal, written, and listening communication skills. proficiency in electronics hardware design and prototyping, including: microcontroller programming (arduino, raspberry pi), python, labview, matlab, and arduino ide or equivalent familiarity with 3d software such as autocad, solidworks, autodesk’s inventor or equivalent. comfortable with technology and its integration in the classroom. ability to work with colleagues-students, convey knowledge in-a-form students can understand, and be able to adapt teaching techniques to student needs-various instructional setting. ability to work independently as well as within a group and be able to motivate students. ability to work with a diverse group of students.     ",,3000.0,6000.0,4500.0,contract,0
shun yi construction pte. ltd.,marketing director,"casa cambio, 11 lim tua tow road 547803",full time,senior management,marketing / public relations ,"$8,000to$10,000",monthly,11 applications,posted 26 jan 2019,closing on 25 feb 2019,"the marketing director drives the organisation's business strategies by setting direction for the organisation's marketing campaigns, programmes and communication plans. he/she is also responsible for advancing public relations for the organisation, formulating data-driven commercial insights and directing budget forecasting activities. the marketing director operates in a rapidly transforming business environment and functions through his/her understanding of consumers' preferences, market trends and industry landscape to promote the organisation and optimise its market share. the marketing director is an astute, aspiring leader who is able to negotiate strategically. he/she possesses strong business acumen and broad understanding of consumer, market and industry trends.","~ conceptualise marketing campaigns across offline and digital platforms. ~ conduct situational analysis to assess the organization's internal and external business environment and landscape. ~ develop business continuity strategies, policies and plans. ~ develop crisis management communication guideline. ~ develop internal and external communication strategies, guidelines and parameters. ~ develop media relationships. ~ direct development of marketing messages. ~ direct public relations activities. ~ direct the design and development of model used for data-mining. ~ drive profiling of target customers and market segments for marketing campaigns. ~ drive the exploration and development of latest data science techniques. ~ establish marketing objectives and strategies. ~ establish scope and goals of marketing campaigns. ~ evaluate local and international business environment and landscape. ~ formulate budgetary assumptions. ~ formulate public relations strategies. ~ identify key focus groups for public relations cultivation. ~ lead the formulation of data-driven insights and drive the practical application to the business. ~ manage risk across business units. ~ work closely with the data architecture and warehouse team to oversee data-mining and analysis process. at least 5 years of experience in construction company able to bid for good project for the company.",8000.0,10000.0,9000.0,full time,1
